customer_state;total_sales;avg_price;avg_freight;freight_to_price_percent
SP;47449;109.65;15.15;13.81
RJ;14579;125.12;20.96;16.75
MG;13129;120.75;20.63;17.09
RS;6235;120.34;21.74;18.06
PR;5740;119.0;20.53;17.25
SC;4176;124.65;21.47;17.22
BA;3799;134.6;26.36;19.59
DF;2406;125.77;21.04;16.73
GO;2333;126.27;22.77;18.03
ES;2256;121.91;22.06;18.09
PE;1806;145.51;32.92;22.62
CE;1478;153.76;32.71;21.28
PA;1080;165.69;35.83;21.63
MT;1055;148.3;28.17;18.99
MA;824;145.2;38.26;26.35
MS;819;142.63;23.37;16.39
PB;602;191.48;42.72;22.31
PI;542;160.36;39.15;24.41
RN;529;156.97;35.65;22.71
AL;444;180.89;35.84;19.82
SE;385;153.04;36.65;23.95
TO;315;157.53;37.25;23.64
RO;278;165.97;41.07;24.74
AM;165;135.5;33.21;24.51
AC;92;173.73;40.07;23.07
AP;82;164.32;34.01;20.69
RR;52;150.57;42.98;28.55
