customer_state;sum_sales;total_revenue
SP;47449;5202955.05
RJ;14579;1824092.67
MG;13129;1585308.03
RS;6235;750304.02
PR;5740;683083.76
SC;4176;520553.34
BA;3799;511349.99
DF;2406;302603.94
GO;2333;294591.95
ES;2256;275037.31
PE;1806;262788.03
CE;1478;227254.71
PA;1080;178947.81
MT;1055;156453.53
MA;824;119648.22
MS;819;116812.64
PB;602;115268.08
PI;542;86914.08
RN;529;83034.98
AL;444;80314.81
SE;385;58920.85
TO;315;49621.74
RO;278;46140.64
AM;165;22356.84
AC;92;15982.95
AP;82;13474.3
RR;52;7829.43
