customer_state;category;revenue;rank
AC;sports_leisure;1677.46;1
AC;watches_gifts;1389.6;2
AC;health_beauty;1386.58;3
AL;health_beauty;12780.26;1
AL;watches_gifts;11683.27;2
AL;computers_accessories;7714.36;3
AM;health_beauty;2776.03;1
AM;garden_tools;1980.88;2
AM;computers_accessories;1960.74;3
AP;computers_accessories;2149.52;1
AP;watches_gifts;1639.8;2
AP;computers;1437.0;3
BA;health_beauty;51367.91;1
BA;watches_gifts;48885.59;2
BA;sports_leisure;38644.61;3
CE;health_beauty;32419.18;1
CE;watches_gifts;29285.24;2
CE;computers_accessories;12504.75;3
DF;watches_gifts;32730.37;1
DF;health_beauty;29862.82;2
DF;computers_accessories;25029.33;3
ES;watches_gifts;29461.0;1
ES;bed_bath_table;22678.65;2
ES;health_beauty;20214.489999999998;3
GO;watches_gifts;33257.72;1
GO;health_beauty;28312.3;2
GO;bed_bath_table;22645.31;3
MA;health_beauty;12747.18;1
MA;computers_accessories;12581.43;2
MA;watches_gifts;9904.99;3
MG;health_beauty;157558.3;1
MG;bed_bath_table;129643.98;2
MG;watches_gifts;123759.23;3
MS;health_beauty;11289.57;1
MS;housewares;10861.74;2
MS;computers_accessories;9878.789999999999;3
MT;health_beauty;15301.789999999999;1
MT;watches_gifts;15006.91;2
MT;auto;10507.41;3
PA;health_beauty;23755.83;1
PA;watches_gifts;22559.82;2
PA;sports_leisure;12733.25;3
PB;health_beauty;16286.98;1
PB;watches_gifts;13388.880000000001;2
PB;computers_accessories;7218.07;3
PE;health_beauty;41604.78;1
PE;watches_gifts;31049.78;2
PE;sports_leisure;20364.510000000002;3
PI;health_beauty;10290.19;1
PI;auto;10134.68;2
PI;watches_gifts;7736.18;3
PR;watches_gifts;59967.04;1
PR;sports_leisure;58630.200000000004;2
PR;health_beauty;54949.36;3
RJ;watches_gifts;185379.65;1
RJ;bed_bath_table;148035.23;2
RJ;health_beauty;145298.62;3
RN;health_beauty;13886.47;1
RN;watches_gifts;10160.42;2
RN;telephony;5303.29;3
RO;health_beauty;7085.76;1
RO;watches_gifts;4553.27;2
RO;sports_leisure;3321.88;3
RR;sports_leisure;1350.6;1
RR;health_beauty;1050.61;2
RR;baby;988.87;3
RS;bed_bath_table;60270.74;1
RS;furniture_decor;54813.58;2
RS;sports_leisure;53788.32;3
SC;sports_leisure;44116.9;1
SC;health_beauty;39760.159999999996;2
SC;computers_accessories;37757.13;3
SE;health_beauty;8883.66;1
SE;cool_stuff;5686.67;2
SE;furniture_decor;4231.39;3
SP;bed_bath_table;478284.52;1
SP;health_beauty;462305.22;2
SP;watches_gifts;435009.92;3
TO;watches_gifts;5446.89;1
TO;sports_leisure;5144.32;2
TO;health_beauty;4798.99;3
